activesupport, 4.1.10, MIT
addressable, 2.3.8, "Apache 2.0"
anemone, 0.7.2, MIT
ansi, 1.5.0, "Simplified BSD"
bookbindery, 2.1.5, MIT
builder, 3.2.2, MIT
bundler, 1.8.2, MIT
byebug, 4.0.4, BSD
celluloid, 0.16.0, MIT
chunky_png, 1.3.4, MIT
coderay, 1.1.0, MIT
coffee-script, 2.3.0, MIT
coffee-script-source, 1.9.1, MIT
columnize, 0.9.0, "ruby, GPL2"
compass, 1.0.3, MIT
compass-core, 1.0.3, MIT
compass-import-once, 1.0.5, MIT
css_parser, 1.3.6, MIT
diff-lcs, 1.2.5, "MIT, Perl Artistic v2, GNU GPL v2"
erubis, 2.7.0, MIT
excon, 0.45.1, MIT
execjs, 2.4.0, MIT
faraday, 0.9.1, MIT
ffi, 1.9.8, BSD
fog-aws, 0.0.8, MIT
fog-core, 1.29.0, MIT
fog-json, 1.0.0, MIT
fog-xml, 0.1.1, MIT
formatador, 0.2.5, MIT
git, 1.2.9.1, MIT
haml, 4.0.6, MIT
hike, 1.2.3, MIT
hitimes, 1.2.2, ISC
hooks, 0.4.0, MIT
httparty, 0.13.3, MIT
i18n, 0.7.0, MIT
ipaddress, 0.8.0, MIT
json, 1.8.2, ruby
kramdown, 1.6.0, MIT
libv8, 3.16.14.7, MIT
license_finder, 2.0.3, MIT
listen, 2.10.0, MIT
method_source, 0.8.2, MIT
middleman, 3.3.10, MIT
middleman-core, 3.3.10, MIT
middleman-sprockets, 3.4.2, MIT
middleman-syntax, 2.0.0, MIT
mime-types, 2.4.3, "MIT, Artistic 2.0, GPL-2"
mini_portile, 0.6.2, MIT
minitest, 5.5.1, MIT
multi_json, 1.11.0, MIT
multi_xml, 0.5.5, MIT
multipart-post, 2.0.0, MIT
net-scp, 1.2.1, MIT
net-ssh, 2.9.2, MIT
nokogiri, 1.6.6.2, MIT
octokit, 2.7.0, MIT
padrino-helpers, 0.12.5, MIT
padrino-support, 0.12.5, MIT
pry, 0.10.1, MIT
pry-byebug, 3.1.0, MIT
puma, 2.11.1, "New BSD"
rack, 1.6.0, MIT
rack-rewrite, 1.5.1, MIT
rack-test, 0.6.3, MIT
rake, 10.4.2, MIT
rb-fsevent, 0.9.4, MIT
rb-inotify, 0.9.5, MIT
redcarpet, 3.2.2, MIT
ref, 1.0.5, MIT
robotex, 1.0.0, MIT
rouge, 1.8.0, "MIT (see LICENSE file)"
rspec, 3.2.0, MIT
rspec-core, 3.2.2, MIT
rspec-expectations, 3.2.0, MIT
rspec-mocks, 3.2.1, MIT
rspec-support, 3.2.2, MIT
sass, 3.4.13, MIT
sawyer, 0.5.5, MIT
slop, 3.6.0, MIT
sprockets, 2.12.3, MIT
sprockets-helpers, 1.1.0, MIT
sprockets-sass, 1.3.1, MIT
therubyracer, 0.12.1, MIT
thor, 0.19.1, MIT
thread_safe, 0.3.5, "Apache 2.0"
tilt, 1.4.1, MIT
timers, 4.0.1, MIT
tzinfo, 1.2.2, MIT
uber, 0.0.13, MIT
uglifier, 2.7.1, MIT
unf, 0.1.4, "2-clause BSDL"
unf_ext, 0.0.6, MIT
vienna, 0.4.0, MIT
xml-simple, 1.1.5, ruby
